discord_id,discord_name,player_tag,player_name,town_hall,clan
748683076225204326,*Spark Plug*#5466,#2CY8Y0UL,*SPARK PLUG #2*,12,*G@ME CHANGERS*
748683076225204326,*Spark Plug*#5466,#L0C092RCL,*SPARK PLUG #3*,11,Soul Wreckers
748683076225204326,*Spark Plug*#5466,#2LVCJPV2,*SPARK PLUG*,14,*G@ME CHANGERS*
681254438106562582,01010101 01110111 01010101#5226,#9QGV0YULY,Smaug,11,RooMaTEs
653756339167952936,AJ 🤟🤟#2542,#P88LVC288,EXODUS,14,Late Bloomers
480295072764657675,AKrocks#6856,#9LC89VGU,AK R⊙¢K$ ^_^,13,Viper's Nest
300690375415431178,AlexandrineTea#2378,#QYYVQJQ9,The Alex Davis,14,Downfall Legend
480562104630247444,AliGak_DPMaster#1696,#PY9GVVCYJ,AliGak_DPMaster,12,Stormcloaks
383649949579083777,Alien X#7401,#2JL8QL2LQ,Alien X,14,*G@ME CHANGERS*
383649949579083777,Alien X#7401,#LQLR80LJR,Crashopper 2,8,Stormcloaks
347722449187635201,Alien10az#9009,#2RLVL88QV,Alien10az,11,Stormcloaks
591461332088258580,Anduve#0810,#8P8QJ28L,Andy,14,DANGER ZONE
786199502403010581,AnticCosine#1504,#209CLLPPY,Orangeo,14,Dark Gold
109309938353836032,Ash#0001,#9PR08RQP,Fume,10,Stormcloaks
510169162480353320,BLerro#1406,#PCL0QU0,BLerro,14,DANGER ZONE
300337620431536128,Balasha#1262,#2802C802C,Balasha,12,Stormcloaks
621446700489244673,Baldur#2852,#8GJLUUU0L,#1 hero Baldur,14,*G@ME CHANGERS*
621446700489244673,Baldur#2852,#L2080VYVV,Baldur Blader,10,*G@ME CHANGERS*
621446700489244673,Baldur#2852,#QVJJU8VP,Firelord Baldur,14,*G@ME CHANGERS*
575801014385508352,Big Daddy#4793,#YUYQ9LJR2,Big Daddy,14,*G@ME CHANGERS*
252609167959916545,Bimp#5715,#PYYULQ2Y,Bimp,13,the huata clan
252609167959916545,Bimp#5715,#JP228QGU,Bimpalicious,13,the huata clan
252609167959916545,Bimp#5715,#LLU8C089L,Bimpo,10,None
252609167959916545,Bimp#5715,#YL9GCYGG,Bimpsta,11,The Romeros
252609167959916545,Bimp#5715,#LU9GLYYU9,Bimpy,8,None
820725835261804586,BlueStar#8153,#Q9QL8JLC,BlueStar,13,*G@ME CHANGERS*
124311623811727360,Bossss#9413,#2G8LYGVGC,Bakery,14,DANGER ZONE
124311623811727360,Bossss#9413,#2LRPYRC2L,Factory,14,DANGER ZONE
130179004186492928,Bowser#0860,#22QYPUUYV,Bowser,14,Downfall Legend
130179004186492928,Bowser#0860,#8YJG9JLYL,Bowser Jr.,12,Downfall Legend
757707805275717664,Brufen#1842,#2L0V0RUPQ,Dmx,12,*G@ME CHANGERS*
190275097322455040,Bunksowned#0285,#809C2089V,ぶしRC☆☆☆TRiX☀︎,13,None
595031649285046293,CG36#5689,#GL89CUGJ,&-&,12,Downfall Legend
595031649285046293,CG36#5689,#9PLCL929,AFO,13,Downfall Legend
730894551492984983,Cammy Wammy/ Big Cam#6250,#2RVLQL8VP,Big Cam,12,Stormcloaks
730894551492984983,Cammy Wammy/ Big Cam#6250,#20YRGQPRJ,Legend of Cam,14,DANGER ZONE
557012241497456640,CarNag3#4550,#PGUR0RQLQ,CarNag3,14,WARm Hole
572685374875238421,CharlieB#5550,#L0Q9CUYUC,Vanilla,11,The Scoundrels
739204842698047488,Chris P#4222,#LJCUURCY,Chris,14,*G@ME CHANGERS*
234340403346669570,Cob#3191,#29C0LRG8L,Huge Sandy,14,Downfall Legend
419964391589412875,ConcreteDeer#3054,#PGQP8YQ0,Deer,12,Stormcloaks
536994930795610131,Connor#4364,#Q02RVJ28,Killer Connor,12,Skem Soldiers
550598774633005056,CowabungaDude#2512,#2RLQC8GCV,CowabungaDude,14,CrYpTiK VoiiD
287754479774728193,Cracka#8133,#90008Q22C,MLGJay,11,Stormcloaks
627190615083450409,DarkWind#0643,#9YQYP280C,The Shadow,13,Downfall Legend
627190615083450409,DarkWind#0643,#80VGJU88Q,⚡⚡DarkWind⚡⚡,14,Downfall Legend
695841989626822666,Dilly Boi#2489,#20C2LJY2Y,DJ,13,Stormcloaks
395777730492235777,Dong Town#7293,#2R02CPLJL,Peter,13,Stormcloaks
395777730492235777,Dong Town#7293,#LY0GL9JQY,Peter 3,10,Soul Wreckers
395777730492235777,Dong Town#7293,#V8V2988G,Peter 4,9,None
343516330173136900,Ethan#6364,#2P29VYGCG,Elite Mun,14,Fifty Ash Holes
343516330173136900,Ethan#6364,#Q2JCRYVG,ethan_z,13,Farm X4
343516330173136900,Ethan#6364,#VQQ9QJ0Y,™Hítter❤️Pizza™,14,Fifty Ash Holes
294785868793905152,EvanTheVile#1866,#289LR0JC,Evan The Vile,13,*G@ME CHANGERS*
600927541972434945,FALLEN#5062,#JCCGJP9C,CHOYUN #3,13,The Movement
600927541972434945,FALLEN#5062,#28QCGPVJ2,Fallen #2,14,DANGER ZONE
600927541972434945,FALLEN#5062,#200L0JGVC,Fallen #4,13,DANGER ZONE
